03/01/2015 13:09:41 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 13:09:41 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 13:09:41 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 13:34:52 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 13:34:52 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 13:34:52 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 13:34:56 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 13:34:56 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 13:34:56 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 13:34:57 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 13:34:57 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 13:34:57 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 13:37:02 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 13:37:02 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 13:37:02 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 13:40:41 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 13:40:41 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 13:40:41 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 13:46:36 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 13:46:36 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 13:46:36 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 14:01:02 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 14:01:02 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 14:01:02 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 14:01:02 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|59
03/01/2015 14:01:02 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 14:01:02 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 14:01:02 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 14:01:02 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|169
03/01/2015 14:01:02 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|168
03/01/2015 14:01:02 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|167
03/01/2015 14:01:02 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|58
03/01/2015 14:01:02 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|166
03/01/2015 14:01:02 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|165
03/01/2015 14:01:02 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|57
03/01/2015 14:01:02 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|161
03/01/2015 14:01:02 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|156
03/01/2015 14:01:02 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|56
03/01/2015 14:01:02 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|155
03/01/2015 14:01:02 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|55
03/01/2015 14:01:02 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|154
03/01/2015 14:01:02 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|54
03/01/2015 14:01:02 UPDATE personnage SET experience = :experience WHERE id_personnage =:id_personnage : 	 1|2848
03/01/2015 14:01:05 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:01:05 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:05 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:05 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:01:13 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:13 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:13 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:13 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:13 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:24 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:24 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:01:24 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:01:31 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:31 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:31 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:01:31 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
